Name__English_,Name__Chinese_,Region_of_Focus,Language,Entity_owner__English_,Entity_owner__Chinese_,Parent_entity__English_,Parent_entity__Chinese_,X__Twitter__handle,X__Twitter__URL,X__Twitter__Follower__
Yang Xinmeng (Abby Yang),杨欣萌,Anglosphere,English,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,_bubblyabby_,https://twitter.com/_bubblyabby_,1678
CGTN Culture Express,,Anglosphere,English,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,_cultureexpress,https://twitter.com/_cultureexpress,2488
All-China Students' Federation,中华全国学联,China,Chinese,All-China Students' Federation,中华全国学生联合会,Central Committee of the Communist Youth League,共青团中央,ACSF1919,https://twitter.com/ACSF1919,5136
Chen Zhong (Dechinghutay / Ghoti),陈重,Afghanistan,Pashto,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,afghanchina,https://twitter.com/afghanchina,1800
Yang Sheng,,Anglosphere,English,People's Daily Press,人民日报社,Central Committee of the Chinese Communist Party,中国共产党中央委员会,AlexYsalex17,https://twitter.com/AlexYsalex17,2821
Yunnan Gateway,云桥网,Yunnan,Chinese,Yunnan Daily Press Group,云南日报报业集团,State Council Information Office (SCIO),国务院新闻办公室,Amazing_Yunnan,https://twitter.com/Amazing_Yunnan,12400
Chen Xu,,Switzerland,German,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,Amb_ChenXu,https://twitter.com/Amb_ChenXu,12600
Li Song,李松,Austria,German,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,Amb_LiSong,https://twitter.com/Amb_LiSong,5972
Lu Kang,陆慷,Indonesia,Bahasa Indonesia,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,Amb_LuKang,https://twitter.com/Amb_LuKang,40600
Zhang Yiming,张益明,UAE,Arabic,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,Amb_Yiming,https://twitter.com/Amb_Yiming,20300
Zhu Jing,朱京,EU,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,Amb_ZhuJing,https://twitter.com/Amb_ZhuJing,18500
Chinese Embassy in France,中国驻法国大使馆,France,French,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,AmbassadeChine,https://twitter.com/AmbassadeChine,63800
Liu Yuxi,,African Union,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,Ambassador_Liu,https://twitter.com/Ambassador_Liu,11200
Huang Xingyuan,,Cyprus,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,AmbassadorHuang,https://twitter.com/AmbassadorHuang,2534
Lei Kezhong,,Lesotho,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,AmbassadorLei,https://twitter.com/AmbassadorLei,1470
Chang Hua,,Iran,Persian,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,AmbChangHua,https://twitter.com/AmbChangHua,26400
Chen Bo,,Serbia,Serbian,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,AmbChenBo,https://twitter.com/AmbChenBo,12900
Chen Weiqing,,Saudi Arabia,Arabic,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,AmbChenWeiqing,https://twitter.com/AmbChenWeiqing,83700
Chinese Embassy in Burundi,中国驻布隆迪大使馆,Burundi,French,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,AmbChineBurundi,https://twitter.com/AmbChineBurundi,4651
Chinese Embassy in Cameroon,,Cameroon,French,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,AmbChineCmr,https://twitter.com/AmbChineCmr,3147
Chinese Embassy in Dem. Rep. of Congo (Kinshasa),中国驻刚果（金）大使馆,Dem. Rep. of Congo,French,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,AmbCHINEenRDC,https://twitter.com/AmbCHINEenRDC,17400
